10,A1,14,A1,10-A1,14-A1
10,A2,14,A2,10-A2,14-A2
10,A3,14,A3,10-A3,14-A3
10,A4,14,A4,10-A4,14-A4
10,A5,14,A5,10-A5,14-A5
10,A6,14,A6,10-A6,14-A6
10,A7,14,A7,10-A7,14-A7
10,A8,14,A8,10-A8,14-A8
10,A9,14,A9,10-A9,14-A9
10,A10,14,A10,10-A10,14-A10
10,A11,14,A11,10-A11,14-A11
10,A12,14,A12,10-A12,14-A12
10,A13,14,A13,10-A13,14-A13
10,A14,14,A14,10-A14,14-A14
10,A15,14,A15,10-A15,14-A15
10,A16,14,A16,10-A16,14-A16
10,A17,14,P14,10-A17,14-P14
10,A18,14,P15,10-A18,14-P15
10,A19,14,P16,10-A19,14-P16
10,A20,,洽主辦方更換座位,10-A20,-洽主辦方更換座位
10,B1,14,B1,10-B1,14-B1
10,B2,14,B2,10-B2,14-B2
10,B3,14,B3,10-B3,14-B3
10,B4,14,B4,10-B4,14-B4
10,B5,14,B5,10-B5,14-B5
10,B6,14,B6,10-B6,14-B6
10,B7,14,B7,10-B7,14-B7
10,B8,14,B8,10-B8,14-B8
10,B9,14,B9,10-B9,14-B9
10,B10,14,B10,10-B10,14-B10
10,B11,14,B11,10-B11,14-B11
10,B12,14,B12,10-B12,14-B12
10,B13,14,B13,10-B13,14-B13
10,B14,14,B14,10-B14,14-B14
10,B15,14,B15,10-B15,14-B15
10,B16,14,B16,10-B16,14-B16
10,B17,14,P4,10-B17,14-P4
10,B18,14,P3,10-B18,14-P3
10,B19,14,P2,10-B19,14-P2
10,B20,14,P1,10-B20,14-P1
10,C1,14,C1,10-C1,14-C1
10,C2,14,C2,10-C2,14-C2
10,C3,14,C3,10-C3,14-C3
10,C4,14,C4,10-C4,14-C4
10,C5,14,C5,10-C5,14-C5
10,C6,14,C6,10-C6,14-C6
10,C7,14,C7,10-C7,14-C7
10,C8,14,C8,10-C8,14-C8
10,C9,14,C9,10-C9,14-C9
10,C10,14,C10,10-C10,14-C10
10,C11,14,C11,10-C11,14-C11
10,C12,14,C12,10-C12,14-C12
10,C13,14,C13,10-C13,14-C13
10,C14,14,C14,10-C14,14-C14
10,C15,14,C15,10-C15,14-C15
10,C16,14,C16,10-C16,14-C16
10,C17,14,P10,10-C17,14-P10
10,C18,14,P11,10-C18,14-P11
10,C19,14,P12,10-C19,14-P12
10,C20,14,P13,10-C20,14-P13
10,D1,14,D1,10-D1,14-D1
10,D2,14,D2,10-D2,14-D2
10,D3,14,D3,10-D3,14-D3
10,D4,14,D4,10-D4,14-D4
10,D5,14,D5,10-D5,14-D5
10,D6,14,D6,10-D6,14-D6
10,D7,14,D7,10-D7,14-D7
10,D8,14,D8,10-D8,14-D8
10,D9,14,D9,10-D9,14-D9
10,D10,14,D10,10-D10,14-D10
10,D11,14,D11,10-D11,14-D11
10,D12,14,D12,10-D12,14-D12
10,D13,14,D13,10-D13,14-D13
10,D14,14,D14,10-D14,14-D14
10,D15,14,D15,10-D15,14-D15
10,D16,14,D16,10-D16,14-D16
10,D17,14,M7,10-D17,14-M7
10,D18,14,M6,10-D18,14-M6
10,D19,14,M5,10-D19,14-M5
10,D20,14,M4,10-D20,14-M4
10,E1,14,E1,10-E1,14-E1
10,E2,14,E2,10-E2,14-E2
